"","duracao_corrigido","campo","lda","sondatipo","dist_navegacao_1","mes_1","detalhamento_1_1"
"1",57.11,"68",4507.9,"DP",4.48287788340298,"05","CONVENCIONAL"
"2",27.92,"34",62.3,"PA",0,"02","SUPER CONVENCIONAL"
"3",53.5,"94",757.9,"ANC",26.2475194976626,"07","CONVENCIONAL"
"4",55.27,"125",324.8,"ANC",0,"06","SUPER CONVENCIONAL"
"5",50.6,"72",1256.6,"ANC",64.6240868269208,"01","THROUGH-TUBING"
"6",28.92,"98",6079.4,"DP",413.981814132389,"11","CONVENCIONAL RCMA"
"7",59.77,"75",3120.08,"DP",10.5624824349179,"09","SUPER CONVENCIONAL"
"8",27.79,"70",331.4,"ANC",73.3346358838379,"09","SUPER CONVENCIONAL"
"9",84,"44",1076.12,"ANC",28.8531579152847,"04","SUPER CONVENCIONAL"
"10",35.65,"21",93.5,"PA",33.4932144126359,"10","CONVENCIONAL"
"11",77.35,"20",68.9,"PA",0,"09","CONVENCIONAL"
"12",42.02,"65",482.3,"ANC",570.844179691995,"11","CONVENCIONAL"
"13",53.86,"26",6213.9,"DP",17.4319669074235,"05","THROUGH-TUBING"
"14",63.27,"3",889.1,"ANC",0,"02","CONVENCIONAL"
"15",51.17,"11",311.7,"ANC",0.151442462694591,"06","CONVENCIONAL"
"16",38.96,"34",62.3,"PA",0,"12","SUPER CONVENCIONAL"
"17",34.9,"34",62.3,"PA",63.655781472757,"11","SUPER CONVENCIONAL"
"18",78.23,"70",328.1,"ANC",0,"10","CONVENCIONAL"
"19",54.98,"70",337.9,"ANC",5.20339248340142,"08","CONVENCIONAL"
"20",23.48,"91",2667.32,"LWO",11.4830465425065,"01","THROUGH-TUBING"
"21",54.15,"70",331.4,"ANC",0.675758186026238,"08","CONVENCIONAL"
"22",28.58,"70",311.7,"ANC",1.32775015379272,"02","THROUGH-TUBING"
"23",53.12,"84",383.9,"ANC",27.6548340093854,"11","CONVENCIONAL"
"24",46.04,"94",754.6,"ANC",27.5841765411144,"09","CONVENCIONAL"
"25",36.25,"79",374,"ANC",0,"06","SUPER CONVENCIONAL"
"26",27.48,"79",380.6,"ANC",1.21766514393343,"07","SUPER CONVENCIONAL"
"27",133.46,"3",2221.1,"ANC",117.397554015312,"06","CONVENCIONAL"
"28",45.44,"3",1079.4,"ANC",1.93718178428861,"08","CONVENCIONAL"
"29",14.08,"73",2736.22,"LWO",13.7605864560287,"05","THROUGH-TUBING"
"30",39.73,"123",3064.3,"DP",0,"01","CONVENCIONAL"
"31",92.85,"70",334.6,"ANC",117.478360644994,"10","SUPER CONVENCIONAL"
"32",37.65,"91",4396.33,"LWO",4.10150990972184,"10","CONVENCIONAL RCMA"
"33",39.52,"64",4724.4,"DP",291.660303689406,"11","CONVENCIONAL"
"34",22.35,"17",400.3,"ANC",7.88917144595936,"10","CONVENCIONAL"
"35",46.92,"70",331.4,"ANC",13.041560189176,"05","CONVENCIONAL"
"36",71.71,"94",931.8,"ANC",4.96750356992572,"04","CONVENCIONAL"
"37",144.92,"125",324.8,"ANC",9.06409501864155,"09","SUPER CONVENCIONAL"
"38",24.1,"125",331.4,"ANC",111.885461220415,"02","CONVENCIONAL"
"39",66.75,"4",3631.9,"DP",391.249456261028,"10","CONVENCIONAL"
"40",13.1,"65",488.8,"ANC",7.97387491083342,"01","CONVENCIONAL"
"41",38.88,"14",2864.2,"DP",29.8132967981005,"12","CONVENCIONAL"
"42",35.19,"91",4865.49,"LWO",3.67516437010452,"02","CONVENCIONAL RCMA"
"43",23.96,"3",2778.9,"ANC",75.7963283149306,"11","CONVENCIONAL"
"44",49.17,"3",1968.5,"LWO",7.08778192733412,"07","THROUGH-TUBING"
"45",65.73,"3",1981.6,"ANC",4.68564398046025,"02","CONVENCIONAL"
"46",82.65,"3",1975.1,"LWO",229.004526557218,"12","THROUGH-TUBING"
"47",49.71,"3",1971.8,"ANC",0,"12","CONVENCIONAL"
"48",69.29,"3",1961.9,"ANC",0.151758724790221,"10","CONVENCIONAL"
"49",81.9,"3",1975.1,"ANC",9.03791336561709,"07","CONVENCIONAL"
"50",57.69,"3",1745.41,"LWO",43.4357673452312,"05","THROUGH-TUBING"
"51",108.38,"3",2066.9,"ANC",10.4849463151602,"06","CONVENCIONAL"
"52",48.15,"3",1302.49,"ANC",59.3952268283273,"06","THROUGH-TUBING"
"53",15.92,"3",1302.49,"ANC",0.111319490792983,"08","THROUGH-TUBING"
"54",58.73,"3",1259.8,"ANC",0,"03","THROUGH-TUBING"
"55",61.73,"3",1509.2,"ANC",2.92354466926686,"01","CONVENCIONAL"
"56",40.94,"3",1489.5,"LWO",0,"05","THROUGH-TUBING"
"57",51.82,"3",1492.8,"LWO",40.7099267854569,"04","THROUGH-TUBING"
"58",57.79,"3",1440.3,"ANC",0,"06","CONVENCIONAL"
"59",13.6,"68",4517.72,"DP",0.245607902399624,"09","CONVENCIONAL"
"60",89.62,"11",282.2,"ANC",62.5827573912395,"11","CONVENCIONAL"
"61",53.65,"11",311.7,"ANC",396.885648747179,"04","SUPER CONVENCIONAL"
"62",78.85,"11",288.7,"ANC",7.58010473390953,"09","SUPER CONVENCIONAL"
"63",70.77,"11",285.4,"ANC",0,"11","SUPER CONVENCIONAL"
"64",28.33,"68",4970.47,"DP",144.673938000985,"11","CONVENCIONAL"
"65",39.48,"17",419.9,"ANC",15.7708081480127,"12","CONVENCIONAL"
"66",50.94,"17",397,"ANC",4.75996661405035,"01","CONVENCIONAL"
"67",47.67,"17",469.2,"ANC",18.6212779382393,"03","SUPER CONVENCIONAL"
"68",43.29,"17",433.1,"ANC",63.1896765448658,"03","CONVENCIONAL"
"69",13.96,"17",433.1,"ANC",6.0380270823004,"11","CONVENCIONAL"
"70",36.52,"25",721.8,"ANC",0,"04","SUPER CONVENCIONAL"
"71",20.69,"34",62.3,"PA",0,"06","SUPER CONVENCIONAL"
"72",15.58,"34",62.3,"PA",0,"04","SUPER CONVENCIONAL"
"73",26.23,"34",62.3,"PA",0,"03","SUPER CONVENCIONAL"
"74",23.31,"34",62.3,"PA",1.15553656819673,"03","SUPER CONVENCIONAL"
"75",22.94,"34",62.3,"PA",1.15553656819673,"04","SUPER CONVENCIONAL"
"76",14.25,"34",62.3,"PA",0,"07","SUPER CONVENCIONAL"
"77",18.21,"34",62.3,"PA",0,"07","SUPER CONVENCIONAL"
"78",12.73,"34",62.3,"PA",0,"06","SUPER CONVENCIONAL"
"79",42.42,"45",836.6,"ANC",0,"08","CONVENCIONAL"
"80",48.33,"49",400.3,"ANC",99.1690718439976,"08","THROUGH-TUBING"
"81",34.92,"62",2834.65,"DP",58.3804440041778,"08","CONVENCIONAL"
"82",76.05,"62",4396.3,"DP",56.9626940102516,"09","SUPER CONVENCIONAL"
"83",138.85,"62",4504.6,"DP",39.4596548174182,"02","CONVENCIONAL"
"84",55.58,"62",4389.8,"DP",2.28470086613178,"04","CONVENCIONAL"
"85",60.83,"62",4603,"DP",56.8375245924164,"04","CONVENCIONAL"
"86",31.22,"64",4537.4,"LWO",0.947849836846919,"08","CONVENCIONAL"
"87",70.47,"64",4534.1,"DP",595.329693163382,"06","CONVENCIONAL"
"88",33.42,"64",4790,"DP",144.4327140522,"06","THROUGH-TUBING"
"89",18.17,"64",4580.1,"LWO",214.842580460136,"08","CONVENCIONAL"
"90",29.69,"64",4560.4,"LWO",0,"01","CONVENCIONAL"
"91",502.25,"63",397,"PF",0,"12","CONVENCIONAL"
"92",51.15,"70",344.5,"ANC",0,"05","SUPER CONVENCIONAL"
"93",27.04,"70",337.9,"ANC",0,"06","SUPER CONVENCIONAL"
"94",144.88,"70",347.8,"ANC",0,"07","CONVENCIONAL"
"95",40.79,"70",347.8,"ANC",6.97946211490414,"03","CONVENCIONAL"
"96",172.71,"70",341.2,"ANC",0,"05","CONVENCIONAL"
"97",55.77,"70",315,"ANC",9.38167596066463,"12","SUPER CONVENCIONAL"
"98",121.1,"70",341.2,"ANC",0,"05","CONVENCIONAL"
"99",63.04,"71",1276.25,"ANC",69.2483314828247,"10","SUPER CONVENCIONAL"
"100",60.05,"75",3408.79,"DP",14.9964695518954,"07","CONVENCIONAL"
"101",63.44,"75",3425.2,"DP",0,"08","THROUGH-TUBING"
"102",58.96,"79",387.1,"ANC",0,"11","SUPER CONVENCIONAL"
"103",42.12,"73",2857.61,"DP",130.813541758322,"01","CONVENCIONAL"
